src,dst,predictions
17,10,0
11,5,0.290215074
9,5,0.290215074
6,16,0.239419649
8,2,0.239419649
4,19,0
7,15,0
18,12,0.054500957
4,16,0.001403442
2,12,6.87E-05
15,0,6.87E-05
8,10,0
5,11,0
14,2,0.01524558
0,8,0.243804025
8,7,0.243804025
3,11,0.312259886
10,8,0.312259886
3,13,0.521249354
15,6,4.97E-20
10,2,4.97E-20
8,12,6.16E-31
4,1,6.16E-31
17,11,0.496176886
2,8,0.496176886
11,18,0.007393913
12,18,0
7,4,0
18,3,5.94E-13
12,10,5.94E-13
9,18,0
4,9,0
1,6,0.064985926
7,0,0
1,11,0
13,18,0.258920394
16,13,0.258920394
14,4,0.001056165
15,19,0.001056165
14,6,1.65E-09
5,2,1.65E-09
17,14,0
15,9,0
19,5,0
12,3,0
6,1,0.334278593
0,13,0.334278593
6,11,2.12E-20
10,4,2.12E-20
11,15,3.12E-23
13,12,3.12E-23
15,3,0.27259349
18,6,0.27259349
12,2,0.970936239
16,10,0
0,3,0
2,5,0.288872684
8,0,0.288872684
3,9,0
8,4,0
17,5,0
19,12,0
10,8,0.114412003
14,16,0.114412003
15,19,0.001628606
15,10,0.24633616
6,13,0.24633616
3,19,0.053833475
3,6,0.254824874
19,5,0.254824874
10,1,5.93E-13
3,6,5.93E-13
10,5,0.317256141
7,15,0.317256141
15,19,0
16,17,0
0,10,0
13,5,0
9,16,3.20E-28
19,0,3.20E-28
10,19,0.298911327
11,19,0.298911327
18,11,0.05512228
8,9,0.050707014
7,17,1.94E-11
12,9,1.94E-11
14,8,3.40E-05
16,15,3.40E-05
15,14,0.236346663
14,3,0.236346663
9,12,0.265871582
18,4,0.265871582
13,19,0
14,5,0
11,8,0.178806717
8,13,0.178806717
12,6,0
13,15,0
11,17,0.183335113
9,4,0.183335113
13,16,0
9,7,0
10,17,0.34909285
17,14,0.34909285
6,15,0.265849056
19,1,0.265849056
15,1,0.004094857
11,19,0
7,8,0
13,4,0.310905016
8,16,0.310905016
7,4,0.191497762
11,17,0.191497762
16,19,0.269102884
6,5,0.269102884
8,17,6.19E-22
2,11,6.19E-22
12,19,0
6,10,0
12,3,0.059076909
17,13,0.162985842
13,6,0.162985842
7,14,0
16,8,0
1,4,0.058516258
3,7,0
11,5,0
17,11,8.80E-14
11,10,8.80E-14
2,4,0.935607076
9,18,0.332391908
17,5,0.332391908
11,2,5.19E-17
12,15,5.19E-17
19,12,0.046796463
13,5,9.45E-10
0,1,9.45E-10
16,13,0.948833704
14,15,0
18,17,0
0,14,0.974694312
18,13,0.141965967
3,14,0.141965967
3,12,0.058432843
12,3,0.131662033
5,19,0.131662033
15,4,0.02508432
6,12,0.19714782
10,12,0.19714782
7,17,0.234414372
6,4,0.234414372
9,14,0.214094034
9,5,0.214094034
7,10,0.035206129
2,15,0.083321688
15,8,1.02E-23
13,15,1.02E-23
6,13,0
6,11,0
2,12,0.052740198
16,11,3.79E-22
1,5,3.79E-22
12,6,0.974681377
11,16,0.05328971
0,12,1.71E-13
5,13,1.71E-13
10,8,3.79E-18
9,18,3.79E-18
10,4,0.166515063
9,14,0.166515063
16,7,0
17,11,0
17,12,0
5,8,0
14,1,0.055113621
17,15,0.027262071
8,19,6.86E-17
7,10,6.86E-17
15,18,0
17,9,0
11,4,0.064460524
18,2,0.160902287
12,6,0.160902287
6,19,0.482595759
10,0,0.482595759
6,10,0.001534651
9,12,0
8,10,0
14,1,0
2,16,0
16,19,0
16,9,0
10,13,0.269557553
8,14,0.269557553
2,1,5.76E-21
15,11,5.76E-21
16,18,0
17,4,0
16,13,1.63E-10
8,12,1.63E-10
7,0,0.068973553
19,14,0
16,8,0
4,13,0.008284417
19,16,0.006695305
2,16,0.006695305
12,19,0.002328141
6,11,0.226036602
19,16,0.226036602
19,9,0.163174424
15,19,0.163174424
10,0,0
1,16,0
6,16,3.85E-09
16,12,3.85E-09
5,10,0.054459518
13,9,0.10202163
8,17,0.10202163
14,19,0.000287609
1,3,0.000287609
11,6,3.88E-15
13,9,3.88E-15
17,12,0
5,6,0
15,12,2.86E-14
11,6,2.86E-14
12,16,0
8,5,0
3,14,0.271866505
19,1,0.271866505
1,13,0.772437274
3,13,0.257665932
4,2,0.257665932
9,13,0
10,0,0
4,16,0.296722777
10,8,0.296722777
6,0,0.354166667
6,19,0.354166667
2,1,0.001856685
12,8,0.001856685
16,3,0
12,19,0
15,2,0
3,17,0
18,8,1.86E-32
15,11,1.86E-32
12,19,0.02289777
0,10,0
12,14,0
12,4,0.079419184
3,12,0.069138571
2,14,0
8,17,0
7,16,0
15,5,0
14,3,1.42E-22
15,16,1.42E-22
2,10,0
9,7,0
13,12,0
18,4,0
5,8,0.430920714
8,16,0.430920714
8,5,0.716427743
12,0,0.051356916
13,9,0.180974424
0,14,0
3,14,0
15,5,0
