tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0,D1_RF,T_meanvar_z,0.4,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V0T,D1_RF,T1_mean,0.4,0.993333,0.006434,0.0,0.0,7,1.0,O(k),2.1638,0.0,,
V0T,D1_RF,T2_SL,0.4,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T3_Beta,0.4,0.993333,0.006434,0.0,0.0,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T5_TFLDT,0.4,0.986667,0.012,0.0,0.0,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.4,0.991667,0.007155,0.0,0.0,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.4,0.494,0.052451,0.01,0.0,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.4,0.255,0.050105,0.02,0.0,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.4,0.991667,0.007155,0.0,0.0,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.4,0.985,0.01048,0.0,0.0,7,1.0,O(k),2.1638,,0.6,0.2718
V1,D1_RF,T2_SL,0.4,0.985,0.01048,0.0,0.0,20,2.86,O(k),2.1638,,0.6,0.2718
V1,D1_RF,T3_Beta,0.4,0.985,0.01048,0.0,0.0,20,2.86,O(k),2.1638,,0.6,0.2718
V1,D1_RF,T5_TFLDT,0.4,0.981667,0.013046,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.6,0.2718
V1,D1_RF,T_max,0.4,0.961667,0.017282,0.0,0.0,6,0.86,O(k),2.1638,,0.6,0.2718
V1,D1_RF,T_median,0.4,0.968333,0.018394,0.0,0.0,16,2.29,O(k log k),2.1638,,0.6,0.2718
V1,D1_RF,T4_EigenTrust,0.4,0.368333,0.057487,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.6,0.2718
V1,D1_RF,T_meanvar_z,0.4,0.985,0.01048,0.0,0.0,18,2.57,O(k),2.1638,,0.6,0.2718
V1T,D1_RF,T1_mean,0.4,1.0,0.0,0.0,0.0,7,1.0,O(k),2.1638,,0.6,0.6439
V1T,D1_RF,T2_SL,0.4,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.6,0.6439
V1T,D1_RF,T3_Beta,0.4,1.0,0.0,0.0,0.0,20,2.86,O(k),2.1638,,0.6,0.6439
V1T,D1_RF,T5_TFLDT,0.4,1.0,0.0,0.0,0.0,20,2.86,O(k + deg),2.1638,,0.6,0.6439
V1T,D1_RF,T_max,0.4,0.998333,0.003267,0.0,0.0,6,0.86,O(k),2.1638,,0.6,0.6439
V1T,D1_RF,T_median,0.4,1.0,0.0,0.0,0.0,16,2.29,O(k log k),2.1638,,0.6,0.6439
V1T,D1_RF,T4_EigenTrust,0.4,0.626667,0.061267,0.0,0.0,11400,1628.57,O(iters * E),2.1638,,0.6,0.6439
V1T,D1_RF,T_meanvar_z,0.4,0.998333,0.003267,0.0,0.0,18,2.57,O(k),2.1638,,0.6,0.6439
