scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T2_SL,D3_RHMD,0.5,0.965,0.01693,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T2_SL,D3_RHMD,0.6,0.995,0.005601,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T2_SL,D3_RHMD,0.7,0.996667,0.004596,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T2_SL,D3_RHMD,0.8,1.0,0.0,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.2,0.126667,0.032871,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.3,0.473667,0.055401,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.4,0.794667,0.041223,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.5,0.965,0.01693,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.6,0.995,0.005601,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.7,0.996667,0.004596,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T3_Beta,D3_RHMD,0.8,1.0,0.0,,forge=0.00,0.2543,0.0521,0.3864,2.535,0.01,20,2.86,O(k)
T5_TFLDT,D3_RHMD,0.2,0.128333,0.0347,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.3,0.47,0.056557,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.4,0.781333,0.045882,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.5,0.948333,0.022601,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.6,0.985,0.011463,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.7,0.995,0.005601,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T5_TFLDT,D3_RHMD,0.8,1.0,0.0,,forge=0.00,0.2052,0.0446,0.3183,2.536,0.01,20,2.86,O(k + deg)
T_max,D3_RHMD,0.2,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.3,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.4,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.5,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.6,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.7,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
T_max,D3_RHMD,0.8,0.073333,0.022897,,cap=0.20,0.3774,0.1067,0.6268,2.338,0.01,6,0.86,O(k)
