defense,scheme,inclique,atk_mean,ben_mean,tpr,x_cross_theory,s_a,s_b
D3_RHMD,T_max,0.5,0.9639568071341644,0.3798705169191501,0.9977777777777779,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.5,9.317142988583532,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.55,0.6855597340833293,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.55,0.9654479457816585,0.3798705169191501,0.9977777777777779,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.55,9.872648808200202,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.6000000000000001,0.7136742367457799,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.6000000000000001,0.9675172268092812,0.3798705169191501,0.9977777777777779,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.6000000000000001,10.428423314569091,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.65,0.7416958134952167,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.65,0.9706609231588834,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.65,10.982399941609337,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.7000000000000001,0.7694628716748664,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.7000000000000001,0.9755809468111067,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.7000000000000001,11.53137713901219,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.75,0.7966755076108482,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.75,0.9815326200308235,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.75,12.069433436056737,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.8,0.8227960443203675,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.8,0.9877763329717182,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.8,12.585841862588873,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.8500000000000001,0.8473514984047675,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.8500000000000001,0.9931991475829042,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.8500000000000001,13.071021739848247,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.9,0.8695701888466972,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.9,0.9967653280003479,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.9,13.509908572101978,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,0.9500000000000001,0.8887900976276535,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,0.9500000000000001,0.998660750140298,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,0.9500000000000001,13.88933871486495,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T1_mean,1.0,0.9046924827545134,0.20655436582350767,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_max,1.0,0.9996065797229066,0.3798705169191501,1.0,-0.36874800000000013,0.8727,0.198
D3_RHMD,T_meanvar_z,1.0,14.203172494303033,0.390785732707466,1.0,-0.36874800000000013,0.8727,0.198
